학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
행정초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,39
강서초등학교,4,8,7,12,8,2,7,10,7,3,2,1,35,36,857
율량초등학교,2,4,3,6,6,3,2,5,8,7,6,3,27,28,582
청남초등학교,0,1,5,0,0,4,3,1,4,7,2,2,14,15,365
한솔초등학교,5,3,2,1,2,3,3,3,2,4,1,2,15,16,252
흥덕초등학교,1,1,1,3,0,0,7,3,3,6,1,1,13,14,308
덕신초등학교,0,0,1,0,1,0,2,2,0,0,0,3,4,5,82
소태초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22
수안보초등학교,0,0,1,1,1,1,2,1,0,0,0,2,4,5,36
마곡초등학교,0,1,0,1,1,0,0,0,0,0,0,0,1,2,38
정안초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,61
금성초등학교금계분교장,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11
남이초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20
가야곡초등학교,0,0,1,0,0,1,0,1,0,0,0,0,1,2,35
벌곡초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,75
부적초등학교,0,0,0,1,0,0,0,1,1,0,0,0,1,2,58
백제초등학교,2,2,2,2,1,3,1,0,2,2,0,0,8,9,190
오목초등학교,0,1,2,1,1,2,0,0,2,2,1,1,6,7,127
고덕초등학교,1,0,0,1,1,1,1,2,0,0,0,0,3,4,76
수덕초등학교,1,1,0,0,1,1,0,1,1,1,0,0,3,4,52
예덕초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31
성환초등학교,5,4,5,6,7,7,6,6,9,5,5,10,37,38,737
천안부대초등학교,2,1,3,2,0,3,3,2,1,3,1,0,10,11,133
행정초등학교,1,0,0,1,0,0,0,1,0,0,0,0,1,2,31
목면초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31
장평초등학교,0,0,0,0,0,0,0,0,0,0,0,1,0,1,36
삼봉초등학교난지분교장,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
조금초등학교,0,0,0,1,0,1,2,1,0,1,1,0,3,4,64
강당초등학교,0,0,0,0,1,2,1,2,2,1,0,0,4,5,58
부석초등학교간월도분교장,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9
