0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:16 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:16 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:16 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:16 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:16 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:16 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:17 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:17 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:17 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:17 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:17 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:18 +0900] "GET /WebMarket/member/addMember.jsp HTTP/1.1" 200 7959
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:18 +0900] "GET /WebMarket/member/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:42:18 +0900] "GET /WebMarket/member/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:44:21 +0900] "GET /WebMarket/member/addMember.jsp HTTP/1.1" 200 8109
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:44:21 +0900] "GET /WebMarket/member/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:44:21 +0900] "GET /WebMarket/member/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:01:21 +0900] "GET /WebMarket/member/addMember.jsp HTTP/1.1" 200 9394
0:0:0:0:0:0:0:1 - - [13/Mar/2023:10:01:21 +0900] "GET /WebMarket/member/resources/css/product.css HTTP/1.1" 404 3448
